starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 15 18:11:33 2014	1402848693	0	585	585	585
Sun Jun 15 18:11:20 2014	1402848680	0	586	586	585
Sun Jun 15 18:11:20 2014	1402848680	0	586	586	586
Sun Jun 15 18:11:19 2014	1402848679	0	586	586	586
Sun Jun 15 18:11:33 2014	1402848693	0	586	586	586
Sun Jun 15 18:11:39 2014	1402848699	0	586	586	586
Sun Jun 15 18:11:39 2014	1402848699	0	586	586	586
Sun Jun 15 18:11:28 2014	1402848688	0	586	586	586
Sun Jun 15 18:11:28 2014	1402848688	0	586	586	586
Sun Jun 15 18:11:28 2014	1402848688	0	587	587	586
Sun Jun 15 18:11:20 2014	1402848680	0	587	587	587
Sun Jun 15 18:11:28 2014	1402848688	0	587	587	587
Sun Jun 15 18:11:33 2014	1402848693	0	587	587	587
Sun Jun 15 18:11:40 2014	1402848700	0	587	587	587
Sun Jun 15 18:11:28 2014	1402848688	0	587	587	587
Sun Jun 15 18:11:40 2014	1402848700	0	587	587	587
Sun Jun 15 18:11:19 2014	1402848679	0	588	588	588
Sun Jun 15 18:11:19 2014	1402848679	0	588	588	588
Sun Jun 15 18:11:19 2014	1402848679	0	588	588	588
Sun Jun 15 18:11:40 2014	1402848700	0	588	588	588
Sun Jun 15 18:11:28 2014	1402848688	0	588	588	588
Sun Jun 15 18:11:33 2014	1402848693	0	589	589	588
Sun Jun 15 18:11:28 2014	1402848688	0	589	589	589
Sun Jun 15 18:11:33 2014	1402848693	0	589	589	589
Sun Jun 15 18:11:19 2014	1402848679	0	589	589	589
Sun Jun 15 18:11:29 2014	1402848689	0	589	589	589
Sun Jun 15 18:11:19 2014	1402848679	0	590	590	590
Sun Jun 15 18:11:29 2014	1402848689	0	591	591	591
Sun Jun 15 18:11:22 2014	1402848682	0	591	591	591
Sun Jun 15 18:11:20 2014	1402848680	0	591	591	591
Sun Jun 15 18:11:20 2014	1402848680	0	591	591	591
Sun Jun 15 18:11:28 2014	1402848688	0	591	591	591
Sun Jun 15 18:11:40 2014	1402848700	0	592	592	592
Sun Jun 15 18:11:28 2014	1402848688	0	592	592	592
Sun Jun 15 18:11:28 2014	1402848688	0	592	592	592
Sun Jun 15 18:11:28 2014	1402848688	0	592	592	592
Sun Jun 15 18:11:33 2014	1402848693	0	592	592	592
Sun Jun 15 18:11:40 2014	1402848700	0	593	593	593
Sun Jun 15 18:11:28 2014	1402848688	0	593	593	593
Sun Jun 15 18:11:28 2014	1402848688	0	593	593	593
Sun Jun 15 18:11:19 2014	1402848679	0	594	594	593
Sun Jun 15 18:11:19 2014	1402848679	0	594	594	593
Sun Jun 15 18:11:32 2014	1402848692	0	594	594	594
Sun Jun 15 18:11:33 2014	1402848693	0	594	594	593
Sun Jun 15 18:11:40 2014	1402848700	0	594	594	594
