starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 16 19:21:47 2014	1402939307	0	763	763	763
Mon Jun 16 19:21:58 2014	1402939318	0	763	763	751
Mon Jun 16 19:22:39 2014	1402939359	0	764	764	764
Mon Jun 16 19:21:47 2014	1402939307	0	764	764	764
Mon Jun 16 19:23:18 2014	1402939398	0	764	764	762
Mon Jun 16 19:22:38 2014	1402939358	0	764	764	764
Mon Jun 16 19:23:16 2014	1402939396	0	765	765	764
Mon Jun 16 19:23:14 2014	1402939394	0	765	765	754
Mon Jun 16 19:22:40 2014	1402939360	0	765	765	765
Mon Jun 16 19:22:11 2014	1402939331	0	766	766	766
Mon Jun 16 19:21:47 2014	1402939307	0	766	766	766
Mon Jun 16 19:22:34 2014	1402939354	0	766	766	704
Mon Jun 16 19:22:26 2014	1402939346	0	767	767	767
Mon Jun 16 19:22:54 2014	1402939374	0	768	768	768
Mon Jun 16 19:21:29 2014	1402939289	3	765	768	765
Mon Jun 16 19:21:44 2014	1402939304	0	769	769	769
Mon Jun 16 19:22:13 2014	1402939333	0	770	770	770
Mon Jun 16 19:21:46 2014	1402939306	0	771	771	770
Mon Jun 16 19:22:14 2014	1402939334	0	771	771	771
Mon Jun 16 19:22:14 2014	1402939334	0	772	772	771
Mon Jun 16 19:22:59 2014	1402939379	0	772	772	772
Mon Jun 16 19:22:27 2014	1402939347	0	772	772	772
Mon Jun 16 19:22:39 2014	1402939359	0	773	773	773
Mon Jun 16 19:22:07 2014	1402939327	0	774	774	774
Mon Jun 16 19:22:30 2014	1402939350	0	774	774	774
Mon Jun 16 19:22:42 2014	1402939362	0	774	774	774
Mon Jun 16 19:22:55 2014	1402939375	0	776	776	776
Mon Jun 16 19:22:41 2014	1402939361	0	776	776	776
Mon Jun 16 19:22:33 2014	1402939353	0	777	777	777
Mon Jun 16 19:22:42 2014	1402939362	0	777	777	777
Mon Jun 16 19:21:48 2014	1402939308	0	777	777	746
Mon Jun 16 19:22:08 2014	1402939328	0	777	778	777
Mon Jun 16 19:22:54 2014	1402939374	0	778	778	778
Mon Jun 16 19:21:45 2014	1402939305	0	779	779	778
Mon Jun 16 19:22:46 2014	1402939366	0	780	780	780
Mon Jun 16 19:21:44 2014	1402939304	0	781	781	781
Mon Jun 16 19:22:34 2014	1402939354	0	781	781	747
Mon Jun 16 19:22:08 2014	1402939328	0	781	781	781
Mon Jun 16 19:21:43 2014	1402939303	0	781	781	781
Mon Jun 16 19:21:29 2014	1402939289	3	778	781	768
Mon Jun 16 19:22:42 2014	1402939362	0	783	783	782
Mon Jun 16 19:22:12 2014	1402939332	0	783	783	782
Mon Jun 16 19:22:56 2014	1402939376	0	783	783	783
Mon Jun 16 19:23:04 2014	1402939384	0	784	784	784
Mon Jun 16 19:21:38 2014	1402939298	0	785	785	785
Mon Jun 16 19:21:47 2014	1402939307	0	785	785	785
Mon Jun 16 19:22:26 2014	1402939346	0	785	785	785
Mon Jun 16 19:21:47 2014	1402939307	0	785	785	785
Mon Jun 16 19:21:38 2014	1402939298	0	785	785	785
Mon Jun 16 19:22:25 2014	1402939345	0	785	785	785
Mon Jun 16 19:22:41 2014	1402939361	0	785	785	785
Mon Jun 16 19:22:09 2014	1402939329	0	786	786	786
Mon Jun 16 19:22:36 2014	1402939356	0	786	786	786
Mon Jun 16 19:23:18 2014	1402939398	0	786	786	786
Mon Jun 16 19:22:10 2014	1402939330	0	787	787	787
Mon Jun 16 19:22:11 2014	1402939331	0	787	787	787
Mon Jun 16 19:21:43 2014	1402939303	0	787	788	787
Mon Jun 16 19:23:18 2014	1402939398	0	788	788	788
Mon Jun 16 19:22:25 2014	1402939345	0	788	788	788
Mon Jun 16 19:22:26 2014	1402939346	0	788	788	788
Mon Jun 16 19:22:43 2014	1402939363	0	788	789	788
Mon Jun 16 19:22:34 2014	1402939354	0	789	789	776
Mon Jun 16 19:21:36 2014	1402939296	0	789	789	789
Mon Jun 16 19:22:00 2014	1402939320	0	789	789	789
Mon Jun 16 19:21:53 2014	1402939313	0	789	789	789
Mon Jun 16 19:22:44 2014	1402939364	0	790	790	790
Mon Jun 16 19:21:42 2014	1402939302	0	790	790	790
Mon Jun 16 19:21:48 2014	1402939308	0	791	791	790
Mon Jun 16 19:22:34 2014	1402939354	0	792	792	792
Mon Jun 16 19:21:29 2014	1402939289	3	789	792	789
Mon Jun 16 19:21:42 2014	1402939302	0	794	794	794
Mon Jun 16 19:22:48 2014	1402939368	0	795	795	795
Mon Jun 16 19:21:48 2014	1402939308	0	795	795	795
Mon Jun 16 19:21:50 2014	1402939310	0	795	795	795
Mon Jun 16 19:23:18 2014	1402939398	0	796	796	796
Mon Jun 16 19:22:44 2014	1402939364	0	796	796	796
Mon Jun 16 19:21:41 2014	1402939301	0	796	796	796
Mon Jun 16 19:22:50 2014	1402939370	0	796	796	796
Mon Jun 16 19:22:11 2014	1402939331	0	797	797	797
Mon Jun 16 19:21:46 2014	1402939306	0	797	797	797
Mon Jun 16 19:22:38 2014	1402939358	0	797	797	797
Mon Jun 16 19:22:31 2014	1402939351	0	798	798	798
Mon Jun 16 19:21:58 2014	1402939318	0	798	798	798
Mon Jun 16 19:22:22 2014	1402939342	0	798	798	798
Mon Jun 16 19:21:44 2014	1402939304	0	798	798	795
Mon Jun 16 19:22:45 2014	1402939365	0	799	799	768
Mon Jun 16 19:22:48 2014	1402939368	0	799	799	799
Mon Jun 16 19:22:35 2014	1402939355	0	799	799	799
Mon Jun 16 19:22:47 2014	1402939367	0	799	799	799
Mon Jun 16 19:21:43 2014	1402939303	0	800	800	800
Mon Jun 16 19:22:48 2014	1402939368	0	800	800	800
Mon Jun 16 19:21:49 2014	1402939309	0	801	801	801
Mon Jun 16 19:22:56 2014	1402939376	0	802	802	802
Mon Jun 16 19:23:04 2014	1402939384	0	802	802	802
Mon Jun 16 19:22:10 2014	1402939330	0	803	803	802
Mon Jun 16 19:21:43 2014	1402939303	0	803	803	802
Mon Jun 16 19:22:05 2014	1402939325	0	803	803	803
Mon Jun 16 19:21:37 2014	1402939297	0	804	804	804
Mon Jun 16 19:22:25 2014	1402939345	0	804	804	804
Mon Jun 16 19:22:40 2014	1402939360	0	804	804	804
Mon Jun 16 19:22:34 2014	1402939354	0	804	804	804
Mon Jun 16 19:23:03 2014	1402939383	0	805	805	805
Mon Jun 16 19:22:24 2014	1402939344	0	805	805	805
Mon Jun 16 19:22:30 2014	1402939350	0	806	806	806
Mon Jun 16 19:22:12 2014	1402939332	0	806	806	806
Mon Jun 16 19:22:12 2014	1402939332	0	807	807	807
Mon Jun 16 19:22:28 2014	1402939348	0	807	807	807
Mon Jun 16 19:22:33 2014	1402939353	0	807	807	807
Mon Jun 16 19:22:13 2014	1402939333	0	807	807	807
Mon Jun 16 19:23:18 2014	1402939398	0	808	808	808
Mon Jun 16 19:23:18 2014	1402939398	0	808	808	808
Mon Jun 16 19:21:42 2014	1402939302	0	808	808	808
Mon Jun 16 19:22:20 2014	1402939340	0	808	809	808
Mon Jun 16 19:23:04 2014	1402939384	0	809	809	809
Mon Jun 16 19:22:47 2014	1402939367	0	809	809	809
Mon Jun 16 19:22:23 2014	1402939343	0	810	810	779
Mon Jun 16 19:22:15 2014	1402939335	0	810	810	810
Mon Jun 16 19:21:29 2014	1402939289	3	807	810	804
Mon Jun 16 19:22:44 2014	1402939364	0	811	811	810
Mon Jun 16 19:22:31 2014	1402939351	0	811	811	811
Mon Jun 16 19:22:45 2014	1402939365	0	811	811	811
Mon Jun 16 19:21:46 2014	1402939306	0	812	812	812
Mon Jun 16 19:22:15 2014	1402939335	0	812	812	812
Mon Jun 16 19:23:14 2014	1402939394	0	812	812	810
Mon Jun 16 19:22:58 2014	1402939378	0	812	812	812
Mon Jun 16 19:22:26 2014	1402939346	0	813	813	813
Mon Jun 16 19:21:43 2014	1402939303	0	813	813	813
Mon Jun 16 19:22:56 2014	1402939376	0	813	813	813
Mon Jun 16 19:22:13 2014	1402939333	0	813	813	813
Mon Jun 16 19:23:18 2014	1402939398	0	813	813	813
Mon Jun 16 19:23:14 2014	1402939394	0	813	813	813
Mon Jun 16 19:22:56 2014	1402939376	0	813	813	813
Mon Jun 16 19:21:50 2014	1402939310	0	814	814	813
Mon Jun 16 19:22:34 2014	1402939354	0	814	814	814
Mon Jun 16 19:22:40 2014	1402939360	0	814	814	814
Mon Jun 16 19:22:56 2014	1402939376	0	815	815	815
Mon Jun 16 19:22:40 2014	1402939360	0	815	815	815
Mon Jun 16 19:22:31 2014	1402939351	0	815	815	815
Mon Jun 16 19:21:29 2014	1402939289	3	812	815	812
Mon Jun 16 19:22:37 2014	1402939357	0	816	816	815
Mon Jun 16 19:21:46 2014	1402939306	0	816	816	815
Mon Jun 16 19:22:39 2014	1402939359	0	816	816	816
Mon Jun 16 19:22:35 2014	1402939355	0	817	817	817
Mon Jun 16 19:22:02 2014	1402939322	0	818	818	817
Mon Jun 16 19:21:40 2014	1402939300	0	818	818	818
Mon Jun 16 19:22:33 2014	1402939353	0	818	818	818
Mon Jun 16 19:21:41 2014	1402939301	0	818	818	818
Mon Jun 16 19:22:59 2014	1402939379	0	818	818	818
Mon Jun 16 19:22:42 2014	1402939362	0	819	819	819
Mon Jun 16 19:21:57 2014	1402939317	0	819	819	747
Mon Jun 16 19:23:10 2014	1402939390	0	819	819	819
Mon Jun 16 19:21:41 2014	1402939301	0	819	819	819
Mon Jun 16 19:22:55 2014	1402939375	0	819	819	819
Mon Jun 16 19:21:43 2014	1402939303	0	819	819	819
Mon Jun 16 19:21:40 2014	1402939300	0	820	820	820
Mon Jun 16 19:22:22 2014	1402939342	0	820	820	820
Mon Jun 16 19:23:03 2014	1402939383	0	820	820	774
Mon Jun 16 19:22:59 2014	1402939379	0	820	820	820
Mon Jun 16 19:22:43 2014	1402939363	0	821	821	821
Mon Jun 16 19:21:48 2014	1402939308	0	821	821	821
Mon Jun 16 19:22:45 2014	1402939365	0	822	822	808
Mon Jun 16 19:22:50 2014	1402939370	0	822	822	822
Mon Jun 16 19:21:48 2014	1402939308	0	822	822	822
Mon Jun 16 19:23:03 2014	1402939383	0	823	823	795
Mon Jun 16 19:22:40 2014	1402939360	0	823	823	823
Mon Jun 16 19:22:59 2014	1402939379	0	823	823	823
Mon Jun 16 19:22:30 2014	1402939350	0	823	823	823
Mon Jun 16 19:22:09 2014	1402939329	0	824	824	824
Mon Jun 16 19:22:38 2014	1402939358	0	824	824	824
Mon Jun 16 19:22:15 2014	1402939335	0	824	824	824
Mon Jun 16 19:23:14 2014	1402939394	0	825	825	825
Mon Jun 16 19:22:48 2014	1402939368	0	825	825	825
Mon Jun 16 19:22:59 2014	1402939379	0	826	826	826
Mon Jun 16 19:21:29 2014	1402939289	3	823	826	823
Mon Jun 16 19:21:41 2014	1402939301	0	826	826	826
Mon Jun 16 19:22:15 2014	1402939335	0	826	826	767
Mon Jun 16 19:21:42 2014	1402939302	0	827	827	826
Mon Jun 16 19:22:40 2014	1402939360	0	827	827	827
Mon Jun 16 19:22:47 2014	1402939367	0	827	827	827
Mon Jun 16 19:21:54 2014	1402939314	0	827	827	827
Mon Jun 16 19:22:44 2014	1402939364	0	827	827	781
Mon Jun 16 19:22:36 2014	1402939356	0	828	828	827
Mon Jun 16 19:23:18 2014	1402939398	0	828	828	826
Mon Jun 16 19:23:17 2014	1402939397	0	828	828	828
Mon Jun 16 19:22:06 2014	1402939326	0	828	828	828
Mon Jun 16 19:22:32 2014	1402939352	0	828	828	828
Mon Jun 16 19:21:49 2014	1402939309	0	829	829	829
Mon Jun 16 19:22:36 2014	1402939356	0	829	829	829
Mon Jun 16 19:21:45 2014	1402939305	0	829	829	718
Mon Jun 16 19:22:32 2014	1402939352	0	829	829	829
Mon Jun 16 19:21:43 2014	1402939303	0	831	831	831
Mon Jun 16 19:21:49 2014	1402939309	0	831	831	831
Mon Jun 16 19:22:43 2014	1402939363	0	832	832	831
Mon Jun 16 19:21:55 2014	1402939315	0	832	832	832
Mon Jun 16 19:21:37 2014	1402939297	0	832	832	832
Mon Jun 16 19:21:40 2014	1402939300	0	832	832	832
Mon Jun 16 19:21:58 2014	1402939318	0	832	832	832
Mon Jun 16 19:21:55 2014	1402939315	0	833	833	833
Mon Jun 16 19:21:40 2014	1402939300	0	833	833	833
Mon Jun 16 19:21:43 2014	1402939303	0	833	833	833
Mon Jun 16 19:23:13 2014	1402939393	0	833	833	833
Mon Jun 16 19:22:44 2014	1402939364	0	835	835	835
Mon Jun 16 19:21:29 2014	1402939289	3	831	835	831
Mon Jun 16 19:21:45 2014	1402939305	0	835	835	733
Mon Jun 16 19:21:57 2014	1402939317	0	835	835	835
Mon Jun 16 19:22:15 2014	1402939335	0	835	835	835
Mon Jun 16 19:22:41 2014	1402939361	0	835	835	727
Mon Jun 16 19:23:06 2014	1402939386	0	835	835	835
Mon Jun 16 19:21:29 2014	1402939289	3	832	835	832
Mon Jun 16 19:23:03 2014	1402939383	0	835	835	835
Mon Jun 16 19:22:04 2014	1402939324	0	835	835	835
Mon Jun 16 19:21:37 2014	1402939297	0	835	835	835
Mon Jun 16 19:22:15 2014	1402939335	0	836	836	836
Mon Jun 16 19:22:07 2014	1402939327	0	836	836	836
Mon Jun 16 19:21:37 2014	1402939297	0	837	837	837
Mon Jun 16 19:22:36 2014	1402939356	0	837	837	837
Mon Jun 16 19:21:48 2014	1402939308	0	838	838	837
